,fator_mercado,fator_tamanho,fator_valor,fator_liquidez,fator_momentum
2011-02-17,0.0019040147,-0.0047872514,0.0009935056,-0.0020441345,-0.0002464247
2011-02-18,0.0032825817,-0.0009205462,-0.0018633706,-0.0028994610,0.0033215610
2011-02-21,-0.0085079810,-0.0012025582,0.0017711236,0.0016029468,-0.0009101713
2011-02-22,-0.0114548691,-0.0064289086,-0.0050070472,-0.0032564346,-0.0034445012
2011-02-23,0.0062203077,-0.0050499355,0.0013193255,-0.0019584855,-0.0072227400
2011-02-24,-0.0034014089,-0.0001674207,0.0009583060,-0.0086734062,-0.0020295612
2011-02-25,0.0005271856,0.0025212294,0.0004051073,0.0061497465,0.0037274193
2011-02-28,0.0087907715,0.0025581447,-0.0002410812,0.0014672484,0.0079177087
2011-03-01,-0.0114783468,0.0038625738,-0.0029529082,0.0098956879,0.0136534460
2011-03-02,0.0132988384,-0.0087729804,0.0037771743,-0.0072940108,0.0037907022
2011-03-03,0.0080976291,-0.0023908382,0.0030518109,-0.0079944646,-0.0033635646
2011-03-04,-0.0012969107,-0.0058872346,-0.0007579252,-0.0039367527,0.0011251387
2011-03-09,-0.0108921519,-0.0005795296,-0.0013342346,0.0077513736,0.0027465103
2011-03-10,-0.0188932307,-0.0045444965,-0.0068726810,-0.0055423044,0.0085108867
2011-03-11,0.0089068413,0.0010774368,0.0070678298,-0.0073411493,-0.0035740561
2011-03-14,0.0047736438,-0.0081143044,-0.0072330292,-0.0080359541,0.0003406033
2011-03-15,-0.0029703854,-0.0072867763,-0.0006884080,-0.0050464557,-0.0030327351
2011-03-16,-0.0171907526,0.0119022485,-0.0028273608,0.0072376174,0.0028889701
2011-03-17,0.0046567256,0.0040491070,0.0057474216,0.0014000697,0.0057077864
2011-03-18,0.0078937793,-0.0071166474,0.0107663674,-0.0102967573,-0.0129158683
2011-03-21,0.0014563409,-0.0049806908,-0.0023054290,0.0022106501,0.0149560459
2011-03-22,0.0130966073,-0.0032974221,-0.0012194784,-0.0045008697,0.0045035137
2011-03-23,0.0035206683,-0.0009961301,0.0060419352,0.0030222875,-0.0035041766
2011-03-24,-0.0026095582,-0.0039157290,-0.0061948951,0.0040344317,0.0036458885
2011-03-25,0.0031013603,-0.0044955797,0.0010392573,0.0016851407,-0.0021242232
2011-03-28,-0.0089843282,0.0096048079,-0.0014197505,0.0069688605,0.0045147901
2011-03-29,0.0029298519,-0.0008974988,0.0022312833,-0.0021379534,0.0012816766
2011-03-30,0.0097010508,-0.0021541109,-0.0011086212,-0.0006659655,0.0033498835
2011-03-31,0.0106090978,0.0017755246,0.0041773096,0.0016155820,-0.0018826844
2011-04-01,0.0090061966,0.0051269792,0.0049162768,0.0004437016,0.0010331869
