Id,Nome,Descricao,Ticker,Version,VersionType,ExchangeId,InternalSymbol,InternalCryptoType,CotacaoAtivo,CodigoISINPapel,ElasticSearchId
300,MARFRIG GLOBAL FOODS S.A.,NULL,$MRFG3,92,I,5,MRFG3,NULL,1,BRMRFGACNOR0,q1RvOXIBooXOYNzvgo51
301,MARISA LOJAS S.A.,NULL,$AMAR3,92,I,5,AMAR3,NULL,1,BRAMARACNOR4,ZVM7OXIBooXOYNzvMF31
302,MENDES JÚNIOR S.A.,NULL,$MEND5,92,I,5,MEND5,NULL,1,BRMENDACNPA2,DlRuOXIBooXOYNzvW4iw
303,MENDES JÚNIOR S.A.,NULL,$MEND6,92,I,5,MEND6,NULL,1,BRMENDACNPB0,D1RuOXIBooXOYNzvXIgB
304,MENDES JÚNIOR S.A.,NULL,$MEND3,92,I,5,MEND3,NULL,1,BRMENDACNOR9,DVRuOXIBooXOYNzvW4h2
305,MERCANTIL DO BR S.A.,NULL,$MERC3,92,I,5,MERC3,NULL,1,BRMERCACNOR2,E1RuOXIBooXOYNzvXIjL
306,MERCANTIL DO BR S.A.,NULL,$MERC4,92,I,5,MERC4,NULL,1,BRMERCACNPR9,FFRuOXIBooXOYNzvXYgF
307,METALFRIO SOLUTIONS S.A.,NULL,$FRIO3,92,I,5,FRIO3,NULL,1,BRFRIOACNOR2,vFRdOXIBooXOYNzvtCZI
308,METALGRAFICA IGUACU S.A.,NULL,$MTIG3,92,I,5,MTIG3,NULL,1,BRMTIGACNOR0,EFRxOXIBooXOYNzvAJdY
309,METALGRAFICA IGUACU S.A.,NULL,$MTIG4,92,I,5,MTIG4,NULL,1,BRMTIGACNPR7,EVRxOXIBooXOYNzvAJeJ
310,METALURGICA GERDAU S.A.,NULL,$GOAU3,92,I,5,GOAU3,NULL,1,BRGOAUACNOR1,r1RfOXIBooXOYNzvyjJd
311,METALURGICA GERDAU S.A.,NULL,$GOAU4,92,I,5,GOAU4,NULL,1,BRGOAUACNPR8,sFRfOXIBooXOYNzvyjKC
312,METALURGICA RIOSULENSE S.A.,NULL,$RSUL3,92,I,5,RSUL3,NULL,1,BRRSULACNOR6,WFR-OXIBooXOYNzvleQM
313,METALURGICA RIOSULENSE S.A.,NULL,$RSUL4,92,I,5,RSUL4,NULL,1,BRRSULACNPR3,WVR-OXIBooXOYNzvleRM
314,METISA METALÚRGICA S.A.,NULL,$MTSA4,92,I,5,MTSA4,NULL,1,BRMTSAACNPR9,IVRxOXIBooXOYNzvBJcY
